series_type,table_type,table_type_desc,country_code,country_type,country_english_name,year,period_type,period_number,period,period_in_date,trade_flow,trade_flow_desc,commodity_group_code,commodity_group_name,partner_country_code,partner_country_english_name,base_year,currency_type,value,value_unit,value_type,value_type_desc,estimation_type,estimation_type_desc
T37.A.Q.,T37,Trade indices - individual countries/areas,620,C,Portugal,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,4.26557295,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,710,C,South Africa,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,16.94382043,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,710,C,South Africa,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,12.62805358,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,724,C,Spain,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,1.54953278,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,724,C,Spain,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,1.48082762,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,752,C,Sweden,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,25.56106667,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,752,C,Sweden,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,11.82735122,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,757,C,Switzerland,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,4.91855312,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,757,C,Switzerland,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,13.96046657,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,764,C,Thailand,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,3.63035825,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,764,C,Thailand,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,0.54186175,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,826,C,United Kingdom,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,20.96657519,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,826,C,United Kingdom,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,16.77220094,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,840,C,United States,1946,A,0,194652,01/01/1946,M,Imports,1,Total,0,World,2000,,3.66426832,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,840,C,United States,1946,A,0,194652,01/01/1946,X,Exports,1,Total,0,World,2000,,6.79253489,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,76,C,Brazil,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,11.16180579,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,124,C,Canada,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,4.54327637,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,124,C,Canada,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,4.04419097,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,144,C,Sri Lanka,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,12.62000437,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,144,C,Sri Lanka,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,18.35669395,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,208,C,Denmark,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,4.81879751,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,208,C,Denmark,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,3.17360822,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,246,C,Finland,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,4.99361765,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,246,C,Finland,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,4.18681201,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,251,C,France,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,3.88300831,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,251,C,France,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,1.55254371,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,352,C,Iceland,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,10.28883716,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,352,C,Iceland,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,10.50177996,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,356,C,India,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,15.58385284,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,356,C,India,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,9.98732643,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,372,C,Ireland,1947,A,0,194752,01/01/1947,X,Exports,1,Total,0,World,2000,,0.919231,,Q,Volume,A,Actual
T37.A.Q.,T37,Trade indices - individual countries/areas,372,C,Ireland,1947,A,0,194752,01/01/1947,M,Imports,1,Total,0,World,2000,,4.10214134,,Q,Volume,A,Actual
